variable;text
VAR1;Bitte geben Sie Ihr Alter in Jahren (Zahl) an. Open-Ended Response
VAR2;Ich nutze folgendes soziales Online-Netzwerk: Facebook
VAR3;X17 Instagram
VAR4;X18 Twitter
VAR5;X19 Snapchat
VAR6;X20 Youtube
VAR7;X21 Sonstiges (bitte angeben)_2
VAR8;Bitte geben Sie an, inwieweit Sie den folgenden Aussagen zustimmen. Es macht mir Spaß, technische Systeme auszuprobieren.
VAR9;X23 Technische Systeme machen mich unabhängig.
VAR10;X24 Technische Systeme machen vieles umständlicher.
VAR11;X25 Technische Systeme erleichtern mir den Alltag.
VAR12;X26 Auch ohne Kaufabsicht informiere ich mich gerne über neue technische Systeme.
VAR13;X27 Technische Systeme verringern den persönlichen Kontakt zu Anderen.
VAR14;Bitte schätzen Sie Ihren Umgang mit technischen Problemen ein: Ich kann ziemlich viele der technischen Probleme, mit denen ich konfrontiert werde, alleine lösen.
VAR15;X29 Technische Geräte sind oft undurchschaubar und schwer zu beherrschen.
VAR16;X30 Es macht mir richtig Spaß, ein technisches Problem zu knacken.
VAR17;X31 Weil ich mit bisherigen technischen Problemen gut zurecht gekommen bin, blicke ich auch künftigen technischen Problemen optimistisch entgegen.
VAR18;X32 Ich fühle mich technischen Geräten gegenüber so hilflos, dass ich die Finger von ihnen lasse.
VAR19;X33 Auch wenn Widerstände auftreten, bearbeite ich ein technisches Problem weiter.
VAR20;X34 Wenn ich ein technisches Problem löse, so geschieht es meistens durch Glück.
VAR21;X35 Die meisten technischen Probleme sind so kompliziert, dass es wenig Sinn hat, sich mit ihnen auseinander zu setzen.
VAR22;Bitte geben Sie an, wie sehr Sie den folgenden Aussagen über sich persönlich zustimmen. Ich mache mir viele Sorgenüber meine Privatsphäre.
VAR23;X37 Ich bin sehr empfindlich,wenn es darum geht, was mit meinen persönlichenDaten geschieht.
VAR24;X38 Für mich ist es sehr wichtig, meine Privatsphäre zuschützen.
VAR25;Bitte bewerten Sie folgende Aussagen: Ich halte mich mithilfe von sozialen Online-Netzwerken auf dem Laufenden.
VAR26;X40 Ich bin in der Lage einen beliebigen Online-Inhalt (z.B. Bild, Datei) lokal abzuspeichern.
VAR27;X41 Ich benutze Tastenkombinationen (z.B. Strg + C) um produktiver zu arbeiten.
VAR28;X42 Um mir einen Beitrag (z.B. einen Artikel oder ein Video) zu einem späteren Zeitpunkt nochmal anschauen zu können, speichere ich diesen auf dem sozialen Online-Netzwerk ab.
VAR29;X43 Mir ist bekannt, welches soziale Online-Netzwerk ich als App verwenden kann.
